id,z,x,code,key
97,45,1,11.0,
98,46,1,11.0,
99,47,1,11.0,
100,48,1,11.0,
101,49,1,11.0,
102,50,1,11.0,
103,51,1,1.0,walls
104,0,2,1.0,walls
105,1,2,1.0,walls
106,2,2,11.0,
107,3,2,11.0,
108,4,2,11.0,
109,5,2,11.0,
110,6,2,11.0,
111,7,2,1.0,walls
112,8,2,11.0,
113,9,2,11.0,
114,10,2,11.0,
115,11,2,11.0,
116,12,2,11.0,
117,13,2,11.0,
118,14,2,11.0,
119,15,2,11.0,
120,16,2,11.0,
121,17,2,11.0,
122,18,2,11.0,
123,19,2,11.0,
124,20,2,11.0,
125,21,2,11.0,
126,22,2,11.0,
127,23,2,11.0,
128,24,2,11.0,
129,25,2,11.0,
130,26,2,11.0,
131,27,2,11.0,
132,28,2,11.0,
133,29,2,11.0,
134,30,2,11.0,
135,31,2,11.0,
136,32,2,11.0,
137,33,2,11.0,
138,34,2,11.0,
139,35,2,11.0,
140,36,2,11.0,
141,37,2,11.0,
142,38,2,11.0,
143,39,2,11.0,
144,40,2,11.0,
145,41,2,11.0,
146,42,2,11.0,
147,43,2,11.0,
148,44,2,11.0,
149,45,2,11.0,
150,46,2,11.0,
151,47,2,11.0,
152,48,2,11.0,
153,49,2,11.0,
154,50,2,11.0,
155,51,2,1.0,walls
156,0,3,1.0,walls
157,1,3,1.0,walls
158,2,3,11.0,
159,3,3,11.0,
160,4,3,11.0,
161,5,3,11.0,
162,6,3,11.0,
163,7,3,1.0,walls
164,8,3,11.0,
165,9,3,11.0,
166,10,3,11.0,
167,11,3,11.0,
168,12,3,11.0,
169,13,3,11.0,
170,14,3,11.0,
171,15,3,11.0,
172,16,3,11.0,
173,17,3,11.0,
174,18,3,11.0,
175,19,3,11.0,
176,20,3,11.0,
177,21,3,11.0,
178,22,3,11.0,
179,23,3,11.0,
180,24,3,11.0,
181,25,3,11.0,
182,26,3,11.0,
183,27,3,11.0,
184,28,3,11.0,
185,29,3,11.0,
186,30,3,11.0,
187,31,3,11.0,
188,32,3,11.0,
189,33,3,1.0,walls
190,34,3,1.0,walls
191,35,3,1.0,walls
192,36,3,11.0,
193,37,3,11.0,
194,38,3,11.0,
195,39,3,11.0,
196,40,3,11.0,
197,41,3,11.0,
198,42,3,11.0,
199,43,3,11.0,
200,44,3,11.0,
201,45,3,11.0,
202,46,3,11.0,
203,47,3,11.0,
204,48,3,11.0,
205,49,3,11.0,
206,50,3,11.0,
207,51,3,1.0,walls
208,0,4,1.0,walls
209,1,4,1.0,walls
210,2,4,11.0,
211,3,4,11.0,
212,4,4,11.0,
213,5,4,11.0,
214,6,4,11.0,
215,7,4,1.0,walls
216,8,4,11.0,
217,9,4,11.0,
218,10,4,11.0,
219,11,4,11.0,
220,12,4,11.0,
221,13,4,11.0,
222,14,4,11.0,
223,15,4,11.0,
224,16,4,11.0,
225,17,4,11.0,
226,18,4,11.0,
227,19,4,11.0,
228,20,4,11.0,
229,21,4,11.0,
230,22,4,11.0,
231,23,4,11.0,
232,24,4,11.0,
233,25,4,11.0,
234,26,4,11.0,
235,27,4,11.0,
236,28,4,11.0,
237,29,4,1.0,walls
238,30,4,1.0,walls
239,31,4,1.0,walls
240,32,4,1.0,walls
241,33,4,11.0,
242,34,4,11.0,
243,35,4,11.0,
244,36,4,1.0,walls
245,37,4,1.0,walls
246,38,4,1.0,walls
247,39,4,1.0,walls
248,40,4,1.0,walls
249,41,4,1.0,walls
250,42,4,1.0,walls
251,43,4,1.0,walls
252,44,4,1.0,walls
253,45,4,1.0,walls
254,46,4,1.0,walls
255,47,4,1.0,walls
256,48,4,1.0,walls
257,49,4,1.0,walls
258,50,4,1.0,walls
259,51,4,1.0,walls
260,0,5,1.0,walls
261,1,5,1.0,walls
262,2,5,11.0,
263,3,5,11.0,
264,4,5,11.0,
265,5,5,11.0,
266,6,5,11.0,
267,7,5,1.0,walls
268,8,5,11.0,
269,9,5,11.0,
270,10,5,11.0,
271,11,5,11.0,
272,12,5,11.0,
273,13,5,11.0,
274,14,5,11.0,
275,15,5,11.0,
276,16,5,11.0,
277,17,5,11.0,
278,18,5,11.0,
279,19,5,11.0,
280,20,5,11.0,
281,21,5,11.0,
282,22,5,11.0,
283,23,5,11.0,
284,24,5,11.0,
285,25,5,11.0,
286,26,5,11.0,
287,27,5,11.0,
288,28,5,11.0,
289,29,5,1.0,walls
290,30,5,11.0,
291,31,5,11.0,
292,32,5,11.0,
293,33,5,11.0,
294,34,5,11.0,
295,35,5,11.0,
296,36,5,1.0,walls
297,37,5,11.0,
298,38,5,11.0,
299,39,5,11.0,
300,40,5,11.0,
301,41,5,2.0,doors
302,42,5,11.0,
303,43,5,11.0,
304,44,5,11.0,
305,45,5,11.0,
306,46,5,11.0,
307,47,5,11.0,
308,48,5,11.0,
309,49,5,11.0,
310,50,5,1.0,walls
311,51,5,1.0,walls
312,0,6,1.0,walls
313,1,6,1.0,walls
314,2,6,11.0,
315,3,6,11.0,
316,4,6,11.0,
317,5,6,11.0,
318,6,6,11.0,
319,7,6,1.0,walls
320,8,6,11.0,
321,9,6,11.0,
322,10,6,11.0,
323,11,6,11.0,
324,12,6,11.0,
325,13,6,11.0,
326,14,6,11.0,
327,15,6,11.0,
328,16,6,11.0,
329,17,6,11.0,
330,18,6,11.0,
331,19,6,11.0,
332,20,6,11.0,
333,21,6,11.0,
334,22,6,11.0,
335,23,6,11.0,
336,24,6,11.0,
337,25,6,11.0,
338,26,6,11.0,
339,27,6,1.0,walls
340,28,6,1.0,walls
341,29,6,11.0,
342,30,6,11.0,
343,31,6,11.0,
344,32,6,11.0,
345,33,6,11.0,
346,34,6,11.0,
347,35,6,11.0,
348,36,6,1.0,walls
349,37,6,11.0,
350,38,6,11.0,
351,39,6,11.0,
352,40,6,11.0,
353,41,6,1.0,walls
354,42,6,11.0,
355,43,6,11.0,
356,44,6,11.0,
357,45,6,11.0,
358,46,6,11.0,
359,47,6,11.0,
360,48,6,11.0,
361,49,6,11.0,
362,50,6,1.0,walls
363,51,6,1.0,walls
364,0,7,1.0,walls
365,1,7,1.0,walls
366,2,7,11.0,
367,3,7,11.0,
368,4,7,11.0,
369,5,7,11.0,
370,6,7,11.0,
371,7,7,1.0,walls
372,8,7,1.0,walls
373,9,7,1.0,walls
374,10,7,1.0,walls
375,11,7,1.0,walls
376,12,7,1.0,walls
377,13,7,1.0,walls
378,14,7,1.0,walls
379,15,7,1.0,walls
380,16,7,1.0,walls
381,17,7,1.0,walls
382,18,7,1.0,walls
383,19,7,1.0,walls
384,20,7,1.0,walls
385,21,7,1.0,walls
386,22,7,1.0,walls
387,23,7,1.0,walls
388,24,7,1.0,walls
389,25,7,1.0,walls
390,26,7,1.0,walls
391,27,7,11.0,
392,28,7,11.0,
393,29,7,11.0,
394,30,7,11.0,
395,31,7,11.0,
396,32,7,11.0,
397,33,7,11.0,
398,34,7,11.0,
399,35,7,11.0,
400,36,7,1.0,walls
401,37,7,11.0,
402,38,7,11.0,
403,39,7,11.0,
404,40,7,11.0,
405,41,7,1.0,walls
406,42,7,1.0,walls
407,43,7,1.0,walls
408,44,7,1.0,walls
409,45,7,1.0,walls
410,46,7,1.0,walls
411,47,7,11.0,
412,48,7,11.0,
413,49,7,11.0,
414,50,7,1.0,walls
415,51,7,1.0,walls
416,0,8,1.0,walls
417,1,8,1.0,walls
418,2,8,11.0,
419,3,8,11.0,
420,4,8,11.0,
421,5,8,11.0,
422,6,8,11.0,
423,7,8,1.0,walls
424,8,8,11.0,
425,9,8,11.0,
426,10,8,11.0,
427,11,8,11.0,
428,12,8,11.0,
429,13,8,11.0,
430,14,8,11.0,
431,15,8,11.0,
432,16,8,11.0,
433,17,8,11.0,
434,18,8,11.0,
435,19,8,11.0,
436,20,8,11.0,
437,21,8,11.0,
438,22,8,11.0,
439,23,8,11.0,
440,24,8,11.0,
441,25,8,1.0,walls
442,26,8,11.0,
443,27,8,11.0,
444,28,8,11.0,
445,29,8,11.0,
446,30,8,11.0,
447,31,8,11.0,
448,32,8,11.0,
449,33,8,11.0,
450,34,8,11.0,
451,35,8,11.0,
452,36,8,1.0,walls
453,37,8,11.0,
454,38,8,11.0,
455,39,8,11.0,
456,40,8,11.0,
457,41,8,1.0,walls
458,42,8,1.0,walls
459,43,8,1.0,walls
460,44,8,11.0,
461,45,8,3.0,green victims
462,46,8,11.0,
463,47,8,11.0,
464,48,8,11.0,
465,49,8,11.0,
466,50,8,1.0,walls
467,51,8,1.0,walls
468,0,9,1.0,walls
469,1,9,1.0,walls
470,2,9,11.0,
471,3,9,11.0,
472,4,9,11.0,
473,5,9,11.0,
474,6,9,11.0,
475,7,9,1.0,walls
476,8,9,11.0,
477,9,9,11.0,
478,10,9,11.0,
479,11,9,11.0,
480,12,9,11.0,
481,13,9,11.0,
482,14,9,11.0,
483,15,9,11.0,
484,16,9,11.0,
485,17,9,11.0,
486,18,9,11.0,
487,19,9,11.0,
488,20,9,11.0,
489,21,9,11.0,
490,22,9,11.0,
491,23,9,11.0,
492,24,9,11.0,
493,25,9,1.0,walls
494,26,9,11.0,
495,27,9,11.0,
496,28,9,11.0,
497,29,9,11.0,
498,30,9,11.0,
499,31,9,11.0,
500,32,9,11.0,
501,33,9,11.0,
502,34,9,11.0,
503,35,9,11.0,
504,36,9,1.0,walls
505,37,9,11.0,
506,38,9,11.0,
507,39,9,11.0,
508,40,9,11.0,
509,41,9,1.0,walls
510,42,9,1.0,walls
511,43,9,11.0,
512,44,9,11.0,
513,45,9,11.0,
514,46,9,5.0,red victims
515,47,9,11.0,
516,48,9,11.0,
517,49,9,11.0,
518,50,9,1.0,walls
519,51,9,1.0,walls
520,0,10,1.0,walls
521,1,10,1.0,walls
522,2,10,11.0,
523,3,10,11.0,
524,4,10,11.0,
525,5,10,11.0,
526,6,10,11.0,
527,7,10,1.0,walls
528,8,10,11.0,
529,9,10,11.0,
530,10,10,11.0,
531,11,10,11.0,
532,12,10,11.0,
533,13,10,11.0,
534,14,10,11.0,
535,15,10,11.0,
536,16,10,11.0,
537,17,10,11.0,
538,18,10,11.0,
539,19,10,11.0,
540,20,10,11.0,
541,21,10,11.0,
542,22,10,11.0,
543,23,10,11.0,
544,24,10,1.0,walls
545,25,10,11.0,
546,26,10,11.0,
547,27,10,11.0,
548,28,10,11.0,
549,29,10,11.0,
550,30,10,11.0,
551,31,10,11.0,
552,32,10,11.0,
553,33,10,11.0,
554,34,10,11.0,
555,35,10,11.0,
556,36,10,1.0,walls
557,37,10,11.0,
558,38,10,11.0,
559,39,10,11.0,
560,40,10,11.0,
561,41,10,1.0,walls
562,42,10,11.0,
563,43,10,11.0,
564,44,10,12.0,
565,45,10,9.0,rubble
566,46,10,9.0,rubble
567,47,10,11.0,
568,48,10,11.0,
569,49,10,11.0,
570,50,10,1.0,walls
571,51,10,1.0,walls
572,0,11,1.0,walls
573,1,11,1.0,walls
574,2,11,11.0,
575,3,11,11.0,
576,4,11,11.0,
577,5,11,11.0,
578,6,11,11.0,
579,7,11,1.0,walls
580,8,11,11.0,
581,9,11,11.0,
582,10,11,11.0,
583,11,11,11.0,
584,12,11,11.0,
585,13,11,11.0,
586,14,11,11.0,
587,15,11,11.0,
588,16,11,11.0,
589,17,11,11.0,
590,18,11,11.0,
591,19,11,11.0,
592,20,11,11.0,
593,21,11,11.0,
594,22,11,11.0,
595,23,11,1.0,walls
596,24,11,11.0,
597,25,11,11.0,
598,26,11,11.0,
599,27,11,11.0,
600,28,11,11.0,
601,29,11,11.0,
602,30,11,11.0,
603,31,11,11.0,
604,32,11,11.0,
605,33,11,11.0,
606,34,11,11.0,
607,35,11,11.0,
608,36,11,1.0,walls
609,37,11,11.0,
610,38,11,11.0,
611,39,11,11.0,
612,40,11,11.0,
613,41,11,1.0,walls
614,42,11,11.0,
615,43,11,11.0,
616,44,11,9.0,rubble
617,45,11,6.0,yellow victims
618,46,11,9.0,rubble
619,47,11,11.0,
620,48,11,11.0,
621,49,11,11.0,
622,50,11,1.0,walls
623,51,11,1.0,walls
624,0,12,1.0,walls
625,1,12,1.0,walls
626,2,12,11.0,
627,3,12,11.0,
628,4,12,8.0,agent
629,5,12,11.0,
630,6,12,11.0,
631,7,12,1.0,walls
632,8,12,11.0,
633,9,12,11.0,
634,10,12,11.0,
635,11,12,11.0,
636,12,12,11.0,
637,13,12,11.0,
638,14,12,11.0,
639,15,12,11.0,
640,16,12,11.0,
641,17,12,11.0,
642,18,12,11.0,
643,19,12,11.0,
644,20,12,11.0,
645,21,12,11.0,
646,22,12,11.0,
647,23,12,1.0,walls
648,24,12,11.0,
649,25,12,11.0,
650,26,12,11.0,
651,27,12,11.0,
652,28,12,11.0,
653,29,12,11.0,
654,30,12,11.0,
655,31,12,11.0,
656,32,12,11.0,
657,33,12,11.0,
658,34,12,11.0,
659,35,12,11.0,
660,36,12,1.0,walls
661,37,12,11.0,
662,38,12,11.0,
663,39,12,11.0,
664,40,12,11.0,
665,41,12,1.0,walls
666,42,12,11.0,
667,43,12,11.0,
668,44,12,11.0,
669,45,12,9.0,rubble
670,46,12,11.0,
671,47,12,11.0,
672,48,12,11.0,
673,49,12,11.0,
674,50,12,1.0,walls
675,51,12,1.0,walls
676,0,13,1.0,walls
677,1,13,1.0,walls
678,2,13,11.0,
679,3,13,11.0,
680,4,13,11.0,
681,5,13,11.0,
682,6,13,11.0,
683,7,13,1.0,walls
684,8,13,11.0,
685,9,13,11.0,
686,10,13,11.0,
687,11,13,11.0,
688,12,13,11.0,
689,13,13,11.0,
690,14,13,11.0,
691,15,13,11.0,
692,16,13,11.0,
693,17,13,11.0,
694,18,13,11.0,
695,19,13,11.0,
696,20,13,11.0,
697,21,13,11.0,
698,22,13,11.0,
699,23,13,1.0,walls
700,24,13,11.0,
701,25,13,11.0,
702,26,13,11.0,
703,27,13,11.0,
704,28,13,11.0,
705,29,13,11.0,
706,30,13,11.0,
707,31,13,11.0,
708,32,13,11.0,
709,33,13,11.0,
710,34,13,11.0,
711,35,13,11.0,
712,36,13,1.0,walls
713,37,13,11.0,
714,38,13,11.0,
715,39,13,11.0,
716,40,13,11.0,
717,41,13,1.0,walls
718,42,13,1.0,walls
719,43,13,1.0,walls
720,44,13,1.0,walls
721,45,13,1.0,walls
722,46,13,1.0,walls
723,47,13,1.0,walls
724,48,13,1.0,walls
725,49,13,1.0,walls
726,50,13,1.0,walls
727,51,13,1.0,walls
728,0,14,1.0,walls
729,1,14,1.0,walls
730,2,14,11.0,
731,3,14,11.0,
732,4,14,11.0,
733,5,14,11.0,
734,6,14,11.0,
735,7,14,1.0,walls
736,8,14,11.0,
737,9,14,11.0,
738,10,14,11.0,
739,11,14,11.0,
740,12,14,11.0,
741,13,14,11.0,
742,14,14,11.0,
743,15,14,11.0,
744,16,14,11.0,
745,17,14,11.0,
746,18,14,11.0,
747,19,14,11.0,
748,20,14,11.0,
749,21,14,11.0,
750,22,14,11.0,
751,23,14,11.0,
752,24,14,11.0,
753,25,14,11.0,
754,26,14,11.0,
755,27,14,11.0,
756,28,14,11.0,
757,29,14,11.0,
758,30,14,11.0,
759,31,14,11.0,
760,32,14,11.0,
761,33,14,11.0,
762,34,14,11.0,
763,35,14,11.0,
764,36,14,1.0,walls
765,37,14,11.0,
766,38,14,11.0,
767,39,14,11.0,
768,40,14,11.0,
769,41,14,2.0,doors
770,42,14,11.0,
771,43,14,11.0,
772,44,14,11.0,
773,45,14,11.0,
774,46,14,11.0,
775,47,14,11.0,
776,48,14,11.0,
777,49,14,11.0,
778,50,14,1.0,walls
779,51,14,1.0,walls
780,0,15,1.0,walls
781,1,15,1.0,walls
782,2,15,11.0,
783,3,15,11.0,
784,4,15,11.0,
785,5,15,11.0,
786,6,15,11.0,
787,7,15,1.0,walls
788,8,15,11.0,
789,9,15,11.0,
790,10,15,11.0,
791,11,15,11.0,
792,12,15,11.0,
793,13,15,11.0,
794,14,15,11.0,
795,15,15,11.0,
796,16,15,11.0,
797,17,15,11.0,
798,18,15,11.0,
799,19,15,11.0,
800,20,15,11.0,
801,21,15,11.0,
802,22,15,1.0,walls
803,23,15,11.0,
804,24,15,11.0,
805,25,15,11.0,
806,26,15,11.0,
807,27,15,11.0,
808,28,15,11.0,
809,29,15,11.0,
810,30,15,11.0,
811,31,15,11.0,
812,32,15,11.0,
813,33,15,11.0,
814,34,15,11.0,
815,35,15,11.0,
816,36,15,1.0,walls
817,37,15,11.0,
818,38,15,11.0,
819,39,15,11.0,
820,40,15,11.0,
821,41,15,1.0,walls
822,42,15,11.0,
823,43,15,11.0,
824,44,15,11.0,
825,45,15,11.0,
826,46,15,11.0,
827,47,15,11.0,
828,48,15,11.0,
829,49,15,11.0,
830,50,15,1.0,walls
831,51,15,1.0,walls
832,0,16,1.0,walls
833,1,16,1.0,walls
834,2,16,11.0,
835,3,16,11.0,
836,4,16,11.0,
837,5,16,11.0,
838,6,16,11.0,
839,7,16,1.0,walls
840,8,16,11.0,
841,9,16,11.0,
842,10,16,11.0,
843,11,16,11.0,
844,12,16,11.0,
845,13,16,11.0,
846,14,16,11.0,
847,15,16,11.0,
848,16,16,11.0,
849,17,16,11.0,
850,18,16,11.0,
851,19,16,11.0,
852,20,16,11.0,
853,21,16,11.0,
854,22,16,11.0,
855,23,16,11.0,
856,24,16,11.0,
857,25,16,11.0,
858,26,16,11.0,
859,27,16,11.0,
860,28,16,11.0,
861,29,16,11.0,
862,30,16,11.0,
863,31,16,11.0,
864,32,16,11.0,
865,33,16,11.0,
866,34,16,11.0,
867,35,16,11.0,
868,36,16,1.0,walls
869,37,16,11.0,
870,38,16,11.0,
871,39,16,11.0,
872,40,16,11.0,
873,41,16,1.0,walls
874,42,16,1.0,walls
875,43,16,1.0,walls
876,44,16,1.0,walls
877,45,16,1.0,walls
878,46,16,1.0,walls
879,47,16,11.0,
880,48,16,11.0,
881,49,16,11.0,
882,50,16,1.0,walls
883,51,16,1.0,walls
884,0,17,1.0,walls
885,1,17,1.0,walls
886,2,17,2.0,doors
887,3,17,2.0,doors
888,4,17,1.0,walls
889,5,17,2.0,doors
890,6,17,2.0,doors
891,7,17,1.0,walls
892,8,17,1.0,walls
893,9,17,1.0,walls
894,10,17,1.0,walls
895,11,17,1.0,walls
896,12,17,1.0,walls
897,13,17,1.0,walls
898,14,17,1.0,walls
899,15,17,1.0,walls
900,16,17,1.0,walls
901,17,17,1.0,walls
902,18,17,1.0,walls
903,19,17,1.0,walls
904,20,17,1.0,walls
905,21,17,1.0,walls
906,22,17,1.0,walls
907,23,17,1.0,walls
908,24,17,1.0,walls
909,25,17,1.0,walls
910,26,17,1.0,walls
911,27,17,1.0,walls
912,28,17,1.0,walls
913,29,17,1.0,walls
914,30,17,1.0,walls
915,31,17,1.0,walls
916,32,17,1.0,walls
917,33,17,1.0,walls
918,34,17,1.0,walls
919,35,17,1.0,walls
920,36,17,1.0,walls
921,37,17,11.0,
922,38,17,11.0,
923,39,17,11.0,
924,40,17,11.0,
925,41,17,1.0,walls
926,42,17,1.0,walls
927,43,17,1.0,walls
928,44,17,11.0,
929,45,17,3.0,green victims
930,46,17,11.0,
931,47,17,11.0,
932,48,17,11.0,
933,49,17,11.0,
934,50,17,1.0,walls
935,51,17,1.0,walls
936,0,18,1.0,walls
937,1,18,1.0,walls
938,2,18,11.0,
939,3,18,11.0,
940,4,18,11.0,
941,5,18,11.0,
942,6,18,11.0,
943,7,18,11.0,
944,8,18,11.0,
945,9,18,11.0,
946,10,18,11.0,
947,11,18,11.0,
948,12,18,1.0,walls
949,13,18,1.0,walls
950,14,18,1.0,walls
951,15,18,11.0,
952,16,18,11.0,
953,17,18,11.0,
954,18,18,11.0,
955,19,18,11.0,
956,20,18,11.0,
957,21,18,11.0,
958,22,18,11.0,
959,23,18,11.0,
960,24,18,11.0,
961,25,18,11.0,
962,26,18,11.0,
963,27,18,11.0,
964,28,18,11.0,
965,29,18,11.0,
966,30,18,11.0,
967,31,18,11.0,
968,32,18,11.0,
969,33,18,11.0,
970,34,18,11.0,
971,35,18,11.0,
972,36,18,1.0,walls
973,37,18,11.0,
974,38,18,11.0,
975,39,18,11.0,
976,40,18,11.0,
977,41,18,1.0,walls
978,42,18,1.0,walls
979,43,18,11.0,
980,44,18,11.0,
981,45,18,11.0,
982,46,18,11.0,
983,47,18,11.0,
984,48,18,11.0,
985,49,18,11.0,
986,50,18,1.0,walls
987,51,18,1.0,walls
988,0,19,1.0,walls
989,1,19,1.0,walls
990,2,19,11.0,
991,3,19,11.0,
992,4,19,11.0,
993,5,19,11.0,
994,6,19,11.0,
995,7,19,11.0,
996,8,19,11.0,
997,9,19,11.0,
998,10,19,11.0,
999,11,19,11.0,
1000,12,19,11.0,
1001,13,19,11.0,
1002,14,19,1.0,walls
1003,15,19,11.0,
1004,16,19,11.0,
1005,17,19,11.0,
1006,18,19,11.0,
1007,19,19,11.0,
1008,20,19,11.0,
1009,21,19,11.0,
1010,22,19,11.0,
1011,23,19,11.0,
1012,24,19,11.0,
1013,25,19,11.0,
1014,26,19,11.0,
1015,27,19,11.0,
1016,28,19,11.0,
1017,29,19,11.0,
1018,30,19,11.0,
1019,31,19,11.0,
1020,32,19,11.0,
1021,33,19,11.0,
1022,34,19,11.0,
1023,35,19,11.0,
1024,36,19,1.0,walls
1025,37,19,11.0,
1026,38,19,11.0,
1027,39,19,11.0,
1028,40,19,11.0,
1029,41,19,1.0,walls
1030,42,19,5.0,red victims
1031,43,19,11.0,
1032,44,19,11.0,
1033,45,19,11.0,
1034,46,19,9.0,rubble
1035,47,19,11.0,
1036,48,19,11.0,
1037,49,19,11.0,
1038,50,19,1.0,walls
1039,51,19,1.0,walls
1040,0,20,1.0,walls
1041,1,20,1.0,walls
1042,2,20,11.0,
1043,3,20,11.0,
1044,4,20,11.0,
1045,5,20,11.0,
1046,6,20,11.0,
1047,7,20,11.0,
1048,8,20,11.0,
1049,9,20,11.0,
1050,10,20,11.0,
1051,11,20,11.0,
1052,12,20,11.0,
1053,13,20,11.0,
1054,14,20,1.0,walls
1055,15,20,11.0,
1056,16,20,11.0,
1057,17,20,1.0,walls
1058,18,20,11.0,
1059,19,20,11.0,
1060,20,20,11.0,
1061,21,20,1.0,walls
1062,22,20,11.0,
1063,23,20,11.0,
1064,24,20,5.0,red victims
1065,25,20,1.0,walls
1066,26,20,11.0,
1067,27,20,11.0,
1068,28,20,11.0,
1069,29,20,1.0,walls
1070,30,20,11.0,
1071,31,20,11.0,
1072,32,20,11.0,
1073,33,20,1.0,walls
1074,34,20,11.0,
1075,35,20,11.0,
1076,36,20,1.0,walls
1077,37,20,11.0,
1078,38,20,11.0,
1079,39,20,11.0,
1080,40,20,11.0,
1081,41,20,1.0,walls
1082,42,20,11.0,
1083,43,20,11.0,
1084,44,20,11.0,
1085,45,20,9.0,rubble
1086,46,20,6.0,yellow victims
1087,47,20,9.0,rubble
1088,48,20,11.0,
1089,49,20,11.0,
1090,50,20,1.0,walls
1091,51,20,1.0,walls
1092,0,21,1.0,walls
1093,1,21,1.0,walls
1094,2,21,11.0,
1095,3,21,11.0,
1096,4,21,11.0,
1097,5,21,11.0,
1098,6,21,11.0,
1099,7,21,11.0,
1100,8,21,11.0,
1101,9,21,11.0,
1102,10,21,11.0,
1103,11,21,11.0,
1104,12,21,11.0,
1105,13,21,11.0,
1106,14,21,1.0,walls
1107,15,21,11.0,
1108,16,21,11.0,
1109,17,21,1.0,walls
1110,18,21,11.0,
1111,19,21,11.0,
1112,20,21,11.0,
1113,21,21,1.0,walls
1114,22,21,11.0,
1115,23,21,11.0,
1116,24,21,11.0,
1117,25,21,1.0,walls
1118,26,21,11.0,
1119,27,21,11.0,
1120,28,21,11.0,
1121,29,21,1.0,walls
1122,30,21,11.0,
1123,31,21,11.0,
1124,32,21,11.0,
1125,33,21,1.0,walls
1126,34,21,11.0,
1127,35,21,11.0,
1128,36,21,1.0,walls
1129,37,21,11.0,
1130,38,21,11.0,
1131,39,21,11.0,
1132,40,21,11.0,
1133,41,21,1.0,walls
1134,42,21,11.0,
1135,43,21,11.0,
1136,44,21,11.0,
1137,45,21,11.0,
1138,46,21,9.0,rubble
1139,47,21,11.0,
1140,48,21,11.0,
1141,49,21,11.0,
1142,50,21,1.0,walls
1143,51,21,1.0,walls
1144,0,22,1.0,walls
1145,1,22,1.0,walls
1146,2,22,11.0,
1147,3,22,11.0,
1148,4,22,11.0,
1149,5,22,11.0,
1150,6,22,11.0,
1151,7,22,11.0,
1152,8,22,11.0,
1153,9,22,11.0,
1154,10,22,11.0,
1155,11,22,11.0,
1156,12,22,11.0,
1157,13,22,11.0,
1158,14,22,1.0,walls
1159,15,22,11.0,
1160,16,22,11.0,
1161,17,22,1.0,walls
1162,18,22,1.0,walls
1163,19,22,1.0,walls
1164,20,22,1.0,walls
1165,21,22,1.0,walls
1166,22,22,1.0,walls
1167,23,22,1.0,walls
1168,24,22,1.0,walls
1169,25,22,1.0,walls
1170,26,22,1.0,walls
1171,27,22,1.0,walls
1172,28,22,1.0,walls
1173,29,22,1.0,walls
1174,30,22,1.0,walls
1175,31,22,1.0,walls
1176,32,22,1.0,walls
1177,33,22,1.0,walls
1178,34,22,11.0,
1179,35,22,11.0,
1180,36,22,1.0,walls
1181,37,22,11.0,
1182,38,22,11.0,
1183,39,22,11.0,
1184,40,22,11.0,
1185,41,22,1.0,walls
1186,42,22,1.0,walls
1187,43,22,1.0,walls
